Metric,Reference,Matched
Throughput (items/sec),0.1995,0.20
Cycle time (sec),134.4625,134.55
Utilisation (sec),,
M1,"[0.20, 9999.80]","[0.20, 9999.80]"
M2,"[4.8763, 9995.1237]","[4.2458, 9995.7542]"
M3,"[2074.0880, 7925.9120]","[1770.0988, 8229.9012]"
M4,"[122.1936, 9877.8064]","[113.8719, 9886.1281]"
M5,,
M6,"[96.0809, 9903.9191]","[156.1033, 9843.8967]"
M7,"[22.0420, 9977.9580]","[21.6147, 9978.3853]"
M8,"[7565.2301, 2434.7699]","[7516.3313, 2483.6687]"
M9,"[2022.7371, 7977.2629]","[2026.1618, 7973.8382]"
M10,"[1020.7818, 8979.2182]","[1003.1955, 8996.8045]"
Buffer avg occupancy,,
B\_SRC\_1,1.9999,1.9999
B\_1\_2,1.9766,1.9706
B\_2\_3,0.8143,0.8553
B\_3\_4,1.7676,1.8068
B\_4\_5,1.0400,1.0840
B\_5\_6\_1,0.1905,0.1829
B\_5\_6\_2,0.7409,0.7739
B\_5\_6\_3,2.1945,2.0761
B\_5\_6\_4,3.8283,3.8229
B\_6\_7,1.9852,1.9803
B\_7\_8,0.0026,0.0015
B\_8\_9,0.0766,0.0691
B\_9\_10,0.1045,0.1088
B\_10\_Sink,0.0000,0.0000
