Metric,Reference (Model B),Matched
Throughput (items/sec),1.9924,1.99
Cycle time (sec),116.7321,116.16
Utilisation (sec),,
M04,"[92.2424, 457.4279, 1105.5416, 8344.7881]","[102.6524, 724.9199, 1341.3778, 7831.0499]"
M05,"[129.2274, 9870.7726]","[131.5188, 9868.4812]"
M14,"[51.6503, 369.9733, 1123.8717, 8454.5047]","[69.2534, 627.8961, 1456.0743, 7846.7762]"
M15,"[93.8730, 9906.1270]","[109.2437, 9890.7563]"
M24,"[62.6401, 402.8635, 1120.6415, 8413.8549]","[90.1403, 755.0797, 1341.2835, 7813.4965]"
M25,"[83.5985, 9916.4015]","[117.8915, 9882.1085]"
M34,"[92.9533, 491.7615, 1142.7351, 8272.5500]","[231.6326, 1651.8853, 2469.4390, 5647.0430]"
M35,"[132.7096, 9867.2904]","[134.7999, 9865.2001]"
M44,"[80.5557, 451.4082, 997.6279, 8470.4082]","[244.5853, 1783.3994, 2605.7967, 5366.2186]"
M45,"[105.1365, 9894.8635]","[136.4419, 9863.5581]"
M54,"[91.7512, 460.4568, 1046.1109, 8401.6811]","[99.5775, 842.3259, 1186.3221, 7871.7745]"
M55,"[127.0483, 9872.9517]","[113.4501, 9886.5499]"
M64,"[74.2406, 441.7337, 1105.6120, 8378.4136]","[113.8552, 828.1311, 1330.4563, 7727.5574]"
M65,"[118.6722, 9881.3278]","[122.0391, 9877.9609]"
M74,"[88.2158, 505.2522, 1006.4025, 8400.1295]","[96.7838, 865.2991, 1494.3872, 7543.5298]"
M75,"[164.4130, 9835.5870]","[140.1322, 9859.8678]"
M84,"[72.6273, 402.9457, 1103.4109, 8421.0160]","[88.8693, 740.0209, 1394.5256, 7776.5842]"
M85,"[130.2400, 9869.75997]","[88.3665, 9911.6335]"
M94,"[87.6076, 802.8814, 2116.2185, 6993.2924]","[127.7024, 798.9143, 1557.2936, 7516.0896]"
M95,"[87.1526, 9912.8474]","[123.1430, 9876.8570]"
Buffer avg occupancy,,
B\_03\_04,1.0077,1.1074
B\_04\_05\_1,0.3734,0.1743
B\_05\_06,1.9813,0.7015
B\_04\_05\_2,0.4504,2.0950
B\_04\_05\_3,0.8799,3.7972
B\_04\_05\_4,3.8437,1.9787
B\_13\_14,1.0205,0.9795
B\_14\_15\_1,0.3725,0.1896
B\_15\_16,1.9876,0.6348
B\_14\_15\_2,0.4562,2.1630
B\_14\_15\_3,0.9291,3.8632
B\_14\_15\_4,3.8694,1.9886
B\_23\_24,1.0139,1.0852
B\_24\_25\_1,0.3746,0.1877
B\_25\_26,1.9838,0.6418
B\_24\_25\_2,0.4528,2.0829
B\_24\_25\_3,0.9144,3.8068
B\_24\_25\_4,3.8580,1.9822
B\_33\_34,0.9795,0.5571
B\_34\_35\_1,0.3764,0.1915
B\_35\_36,1.9818,0.6634
B\_34\_35\_2,0.4651,1.7168
B\_34\_35\_3,0.9621,3.7734
B\_34\_35\_4,3.8294,1.9810
B\_43\_44,1.0252,0.5615
B\_44\_45\_1,0.3699,0.1808
B\_45\_46,1.9853,0.7048
B\_44\_45\_2,0.4452,1.8039
B\_44\_45\_3,0.9149,3.7857
B\_44\_45\_4,3.8457,1.9824
B\_53\_54,1.0176,1.1053
B\_54\_55\_1,0.3756,0.1790
B\_55\_56,1.9847,0.6351
B\_54\_55\_2,0.4525,2.1597
B\_54\_55\_3,0.9176,3.8531
B\_54\_55\_4,3.8140,1.9896
B\_63\_64,1.0132,1.0747
B\_64\_65\_1,0.3746,0.1930
B\_65\_66,1.9857,0.6685
B\_64\_65\_2,0.4561,2.1806
B\_64\_65\_3,0.9076,3.7832
B\_64\_65\_4,3.8346,1.9822
B\_73\_74,1.0160,1.0210
B\_74\_75\_1,0.3792,0.1798
B\_75\_76,1.9777,0.6563
B\_74\_75\_2,0.4521,2.1696
B\_74\_75\_3,0.9193,3.8158
B\_74\_75\_4,3.8028,1.9828
B\_83\_84,0.9985,1.0569
B\_84\_85\_1,0.3745,0.1941
B\_85\_86,1.9796,0.6889
B\_84\_85\_2,0.4599,2.0227
B\_84\_85\_3,0.9389,3.8123
B\_84\_85\_4,3.8553,1.9864
B\_93\_94,0.7041,1.0105
B\_94\_95\_1,0.3706,0.1753
B\_95\_96,1.9894,0.6747
